"ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218692_at","syntabulin (syntaxin-interacting)","SYBU","55638","","","","Homo sapiens syntabulin (syntaxin-interacting) (SYBU), transcript variant 9, mRNA","153090183","NM_017786","","","","8q23.2","Chromosome 8, NC_000008.10 (110586405..110704020, complement)","kinesin binding///protein binding///syntaxin-1 binding","","Golgi membrane///cytoplasmic membrane-bounded vesicle///cytoskeleton///integral to membrane","GO:0019894///GO:0005515///GO:0017075","","GO:0000139///GO:0016023///GO:0005856///GO:0016021",-1.89435928571428,7.19776461538462,-9.51598826572715,1.92978306507217e-07,0.00430013560390033,7.19078359126911
"220296_at","SAP30L antisense RNA 1 (head to head)","SAP30L-AS1","386627","","","","","","","","","","5q33.2","Chromosome 5, NC_000005.9 (153769329..153825382, complement)","","","","","","",0.836902380952383,5.03043692307692,8.58033132421206,6.63699096331516e-07,0.00640548202365592,6.13918906171797
"211465_x_at","fucosyltransferase 6 (alpha (1,3) fucosyltransferase)","FUT6","2528","","","","Human alpha (1,3) fucosyltransferase (FUT6) mRNA, minor transcript I, complete cds","967206","U27335","","","","19p13.3","Chromosome 19, NC_000019.9 (5830637..5839742, complement)","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity///alpha-(1->3)-fucosyltransferase activity///fucosyltransferase activity","L-fucose catabolic process///fucosylation///protein glycosylation///protein glycosylation","Golgi apparatus///Golgi cisterna membrane///integral to membrane","GO:0017060///GO:0046920///GO:0008417","GO:0042355///GO:0036065///GO:0006486///GO:0006486","GO:0005794///GO:0032580///GO:0016021",1.04028880952381,7.87641615384615,8.34581246833746,9.18287269605141e-07,0.00640548202365592,5.85724021478679
"217724_at","SERPINE1 mRNA binding protein 1","SERBP1","26135","","","","Homo sapiens clone 25076 mRNA sequence","4406639","AF131807","","","","1p31","Chromosome 1, NC_000001.10 (67873493..67896123, complement)","mRNA 3'-UTR binding///protein binding","regulation of mRNA stability","cytoplasm///nucleus///perinuclear region of cytoplasm///plasma membrane","GO:0003730///GO:0005515","GO:0043488","GO:0005737///GO:0005634///GO:0048471///GO:0005886",-1.72191904761905,8.95892384615385,-8.00103400777413,1.49739220270094e-06,0.00640548202365592,5.42861224121847
"201145_at","HCLS1 associated protein X-1","HAX1","10456","","","","Homo sapiens HCLS1 associated protein X-1 (HAX1), transcript variant 1, mRNA","66363692","NM_006118","","","","1q21.3","Chromosome 1, NC_000001.10 (154245039..154248351)","interleukin-1 binding///protein N-terminus binding///protein binding","cellular response to cytokine stimulus///positive regulation of actin cytoskeleton reorganization///positive regulation of granulocyte differentiation///positive regulation of peptidyl-serine phosphorylation///positive regulation of peptidyl-tyrosine phosphorylation///positive regulation of phosphatidylinositol 3-kinase cascade///positive regulation of protein kinase B signaling cascade///positive regulation of transcription from RNA polymerase II promoter///regulation of actin filament polymerization","actin cytoskeleton///cytoplasmic membrane-bounded vesicle///endoplasmic reticulum///lamellipodium///mitochondrion///nuclear envelope///nuclear membrane///sarcoplasmic reticulum///transcription factor complex","GO:0019966///GO:0047485///GO:0005515","GO:0071345///GO:2000251///GO:0030854///GO:0033138///GO:0050731///GO:0014068///GO:0051897///GO:0045944///GO:0030833","GO:0015629///GO:0016023///GO:0005783///GO:0030027///GO:0005739///GO:0005635///GO:0031965///GO:0016529///GO:0005667",-0.959694761904761,8.07550538461538,-7.98147615917144,1.54016107931321e-06,0.00640548202365592,5.4037838992667
"207098_s_at","mitofusin 1","MFN1","55669","","","","","","","","","","3q26.33","Chromosome 3, NC_000003.11 (179065480..179111014)","GTP binding///GTPase activity","mitochondrial fusion","integral to membrane///mitochondrial outer membrane","GO:0005525///GO:0003924","GO:0008053","GO:0016021///GO:0005741",-1.95064976190476,5.48295153846154,-7.90318176262566,1.72476291980144e-06,0.00640548202365592,5.30382984735349
"200597_at","eukaryotic translation initiation factor 3, subunit A","EIF3A","8661","","","","qa48a10.x1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:1689978 3-, mRNA sequence","3539086","AI123320","","","","10q26","Chromosome 10, NC_000010.10 (120794541..120840334, complement)","protein binding///structural molecule activity///contributes_to translation initiation factor activity///contributes_to translation initiation factor activity","cellular protein metabolic process///formation of translation initiation complex///formation of translation preinitiation complex///gene expression///regulation of translational initiation///translation///translational initiation///translational initiation","cytoplasm///cytoplasm///cytosol///eukaryotic 43S preinitiation complex///eukaryotic 48S preinitiation complex///eukaryotic translation initiation factor 3 complex///nucleolus///nucleus","GO:0005515///GO:0005198///contributes_to GO:0003743///contributes_to GO:0003743","GO:0044267///GO:0001732///GO:0001731///GO:0010467///GO:0006446///GO:0006412///GO:0006413///GO:0006413","GO:0005737///GO:0005737///GO:0005829///GO:0016282///GO:0033290///GO:0005852///GO:0005730///GO:0005634",-1.11297428571428,6.21990384615385,-7.75554361316975,2.13954222429235e-06,0.00681077419770091,5.11288847355188
"216241_s_at","transcription elongation factor A (SII), 1","TCEA1","6917","","","","Human TFIIS mRNA for transcription elongation factor","37071","X57198","","","","8q11.2","Chromosome 8, NC_000008.10 (54879116..54935008, complement)","DNA binding///protein binding///zinc ion binding","DNA repair///erythrocyte differentiation///gene expression///nucleotide-excision repair///positive regulation of transcription from RNA polymerase II promoter///positive regulation of viral transcription///regulation of DNA-dependent transcription, elongation///transcription elongation from RNA polymerase II promoter///transcription from RNA polymerase II promoter///transcription-coupled nucleotide-excision repair///viral process","nucleolus///nucleoplasm///nucleus","GO:0003677///GO:0005515///GO:0008270","GO:0006281///GO:0030218///GO:0010467///GO:0006289///GO:0045944///GO:0050434///GO:0032784///GO:0006368///GO:0006366///GO:0006283///GO:0016032","GO:0005730///GO:0005654///GO:0005634",-1.92701428571428,8.33438307692308,-7.4407505284049,3.41831936028509e-06,0.0078558902200395,4.69485372148085
"215577_at","","","","Transcribed locus","","Hs.668088","AU146791 HEMBB1 Homo sapiens cDNA clone HEMBB1001531 3-, mRNA sequence","11008312","AU146791","","","","","","","","","","","",1.04243761904762,5.07633076923077,7.41054574677974,3.57786866409192e-06,0.0078558902200395,4.65395078964445
"201894_s_at","signal sequence receptor, alpha","SSR1","6745","","","","Homo sapiens decorin (DCN), transcript variant A1, mRNA","47419925","NM_001920","","","","6p24.3","Chromosome 6, NC_000006.11 (7281283..7313541, complement)","","SRP-dependent cotranslational protein targeting to membrane///activation of signaling protein activity involved in unfolded protein response///cellular protein metabolic process///cotranslational protein targeting to membrane///endoplasmic reticulum unfolded protein response///gene expression///positive regulation of cell proliferation///translation","endoplasmic reticulum///endoplasmic reticulum membrane///integral to membrane","","GO:0006614///GO:0006987///GO:0044267///GO:0006613///GO:0030968///GO:0010467///GO:0008284///GO:0006412","GO:0005783///GO:0005789///GO:0016021",-1.81602642857143,7.71134538461538,-7.31006851634721,4.16768631968841e-06,0.0078558902200395,4.51687604039431
